monthly_charges,total_charges,contract_type,tenure,tech_support,churn
104.2,6252,month-to-month,49,yes,no
38.91,700.38,month-to-month,16,no,no
25.2,403.2,two year,15,yes,no
114.72,7227.36,month-to-month,52,no,yes
48.25,2605.5,month-to-month,17,yes,no
41.11,2302.16,month-to-month,41,yes,no
103.28,1652.48,month-to-month,44,no,no
63.73,,month-to-month,34,no,no
117.61,,month-to-month,52,yes,no
42.93,815.67,two year,43,yes,no
45.86,91.72,two year,43,yes,no
101.19,3744.03,one year,72,yes,no
111.32,1447.16,month-to-month,60,no,no
27.05,351.65,month-to-month,5,yes,no
40.93,1882.78,,7,yes,yes
45.62,319.34,month-to-month,39,no,no
27.17,271.7,month-to-month,20,no,yes
62.71,3010.08,one year,48,yes,no
105.25,1789.25,,21,yes,yes
32.55,1529.85,month-to-month,8,no,yes
58.02,174.06,month-to-month,29,yes,no
117.31,1055.79,month-to-month,44,no,no
57.87,2662.02,two year,66,yes,yes
,2965.6,two year,41,yes,no
103.64,5182,two year,22,yes,no
86.69,1993.87,two year,67,yes,yes
60.61,1151.59,one year,41,,no
69.8,1954.4,month-to-month,72,yes,yes
26.71,400.65,month-to-month,62,yes,no
,4450.99,month-to-month,8,yes,yes
52.89,3384.96,one year,13,yes,no
43.66,698.56,month-to-month,64,no,yes
101.12,4853.76,month-to-month,29,no,no
112.84,5754.84,month-to-month,28,no,no
59.7,3104.4,month-to-month,4,yes,no
22.88,1121.12,month-to-month,4,no,yes
63.95,3133.55,one year,40,yes,no
101.29,709.03,two year,64,yes,no
56.75,908,month-to-month,70,no,no
53.72,698.36,one year,69,no,yes
93.74,4780.74,one year,9,no,no
53.92,161.76,two year,33,yes,no
53.09,849.44,two year,4,yes,no
22.46,,two year,12,no,no
64.67,4074.21,two year,60,yes,yes
46.27,1480.64,month-to-month,53,yes,yes
106.5,1278,month-to-month,53,no,no
53.53,749.42,two year,30,,yes
59.15,4022.2,,18,,no
41.76,2046.24,one year,11,yes,yes
26.99,539.8,month-to-month,41,yes,yes
78.44,3922,two year,24,,no
86.38,4146.24,month-to-month,55,no,no
94.88,1233.44,month-to-month,37,yes,no
58.68,2757.96,two year,34,yes,no
70.03,3011.29,month-to-month,12,yes,no
26.15,810.65,one year,1,yes,yes
65.44,3730.08,one year,70,yes,yes
48.52,3105.28,,1,yes,no
117.83,4595.37,one year,68,yes,yes
39.86,2272.02,two year,66,no,no
101.44,4869.12,month-to-month,4,no,no
36.73,624.41,month-to-month,53,yes,yes
68.65,2677.35,two year,49,no,no
108.99,6430.41,month-to-month,64,yes,no
119.05,4523.9,two year,21,yes,no
23.27,1605.63,month-to-month,17,yes,no
115.33,3459.9,one year,61,,no
110.12,880.96,month-to-month,16,,no
86.92,1043.04,month-to-month,53,yes,no
80.09,4885.49,month-to-month,1,no,yes
117.73,4826.93,,30,yes,yes
33.95,339.5,month-to-month,10,,no
108.49,325.47,one year,9,no,no
93.85,3472.45,,42,,no
55.92,2404.56,one year,56,no,yes
88.32,,month-to-month,33,no,no
68.5,890.5,one year,60,no,yes
117.21,7032.6,month-to-month,44,yes,yes
77.58,3646.26,two year,12,,yes
102.82,5449.46,,22,yes,no
51.12,3322.8,month-to-month,45,,no
95.13,856.17,month-to-month,17,no,yes
119.67,8137.56,two year,43,yes,yes
102.38,4095.2,,57,yes,no
52.35,523.5,month-to-month,10,yes,no
74.54,969.02,month-to-month,25,yes,yes
81.17,1948.08,two year,38,no,no
70.06,1191.02,two year,33,no,no
77.7,1243.2,month-to-month,59,,no
,6306.71,one year,18,yes,no
76.51,3366.44,one year,57,no,yes
109.74,6584.4,two year,34,no,no
72.7,654.3,month-to-month,1,no,no
113.55,4428.45,month-to-month,47,,no
40.57,2353.06,two year,55,no,no
83.62,3762.9,month-to-month,49,no,no
89.47,4294.56,,18,no,no
46.07,2625.99,,64,yes,no
66.5,3192,two year,8,yes,yes
95.18,3331.3,month-to-month,35,no,no
71.71,3370.37,one year,10,no,no
46.36,602.68,one year,41,no,no
100.59,4727.73,month-to-month,19,no,yes
51.44,3240.72,month-to-month,31,yes,yes
78.59,1493.21,month-to-month,62,yes,no
118.77,6176.04,,28,yes,no
25.78,1417.9,,17,yes,no
106.69,3947.53,month-to-month,22,yes,yes
53.2,2021.6,two year,16,no,no
116.58,1282.38,month-to-month,71,yes,no
83.34,3166.92,two year,47,yes,no
98.99,1484.85,one year,37,no,no
50.78,2945.24,month-to-month,45,yes,no
113.68,3296.72,one year,46,yes,no
31.26,687.72,one year,64,no,yes
51.28,1692.24,two year,60,no,no
108.17,6382.03,one year,34,no,no
39.2,2783.2,month-to-month,65,no,yes
38.43,,one year,31,yes,no
90.56,3984.64,two year,40,no,no
81.27,5526.36,one year,59,yes,yes
26.76,1712.64,one year,30,,no
26.56,1859.2,two year,26,no,yes
77.35,4022.2,two year,47,,no
101.79,6005.61,one year,67,yes,yes
97.09,4951.59,two year,54,no,no
52.63,1631.53,two year,52,yes,no
109.63,3837.05,one year,11,no,no
55.88,2682.24,month-to-month,16,no,yes
25.2,781.2,month-to-month,32,yes,no
102.85,102.85,one year,16,no,yes
115.39,346.17,one year,61,yes,yes
69.29,970.06,one year,59,no,yes
73.56,,one year,46,yes,no
51.26,2716.78,two year,18,no,no
23.05,,month-to-month,21,yes,no
48.45,3003.9,month-to-month,53,yes,no
,1310.76,month-to-month,65,no,no
23.78,760.96,one year,61,yes,no
30.7,644.7,month-to-month,2,no,no
58.09,1103.71,one year,26,no,no
100.14,200.28,month-to-month,33,yes,no
68.59,2949.37,two year,26,no,no
79.5,238.5,one year,19,no,yes
82.42,4862.78,one year,53,yes,yes
72.27,2818.53,month-to-month,28,no,no
73.19,2634.84,one year,37,yes,no
33.09,992.7,month-to-month,17,no,no
94.27,1602.59,one year,47,yes,yes
70.14,4839.66,two year,1,,no
41.57,1454.95,two year,25,yes,no
27.27,518.13,two year,66,yes,no
115.51,7623.66,two year,8,no,no
50.32,,one year,6,yes,no
65.5,2358,one year,30,no,no
71.85,1437,month-to-month,57,no,no
38.99,1520.61,two year,33,no,no
32.69,653.8,,9,no,yes
68.56,1988.24,two year,18,no,no
84.22,1937.06,one year,71,no,yes
45.94,,one year,5,no,no
92.61,4260.06,two year,14,yes,yes
114.33,4001.55,two year,52,,no
60.96,1036.32,one year,18,yes,no
113.04,565.2,month-to-month,66,no,no
67.46,2023.8,month-to-month,33,yes,yes
119.12,3216.24,two year,71,yes,no
22.54,22.54,one year,37,no,no
103.09,5669.95,one year,71,yes,no
33.4,868.4,month-to-month,28,yes,no
55.35,1107,,56,no,no
60.43,2054.62,month-to-month,70,no,no
101.61,2032.2,two year,61,yes,no
83.61,5769.09,month-to-month,52,no,yes
113.15,1357.8,month-to-month,51,yes,no
29.85,955.2,two year,18,yes,yes
77.54,1860.96,one year,53,no,yes
28.95,173.7,month-to-month,65,,no
103.64,4249.24,one year,34,no,yes
114.6,229.2,two year,28,yes,no
104.65,6697.6,one year,68,no,no
115.14,1611.96,one year,60,no,no
36.62,256.34,two year,32,no,yes
93.75,281.25,one year,19,,no
83.01,4897.59,one year,23,yes,no
,100.45,two year,70,yes,no
97.98,2743.44,two year,51,no,no
71.59,3221.55,one year,21,,no
55.34,2158.26,one year,44,no,no
28.46,1536.84,month-to-month,44,yes,no
68.43,1094.88,two year,21,no,no
20.02,60.06,month-to-month,54,no,no
102.25,5623.75,one year,9,yes,no
36.43,1129.33,two year,65,yes,yes
60.5,1754.5,one year,9,no,no
85.07,5699.69,month-to-month,24,yes,no
76.03,2737.08,two year,38,yes,no
81.42,569.94,month-to-month,62,no,no
91.3,2921.6,one year,61,yes,no
45.82,2611.74,two year,18,no,no
109.27,1966.86,one year,18,no,no
37.25,,one year,42,yes,yes
33.32,,month-to-month,35,no,no
85.9,5239.9,month-to-month,11,no,no
115.23,4033.05,one year,13,yes,no
113.18,1131.8,one year,61,no,no
93.59,6083.35,two year,2,no,no
66.07,2774.94,month-to-month,4,yes,yes
20.13,20.13,month-to-month,71,yes,no
49.94,49.94,month-to-month,55,no,no
78.53,4005.03,one year,44,no,yes
79.9,1198.5,month-to-month,8,yes,yes
,129.99,two year,61,no,yes
93.42,1027.62,two year,50,no,no
45.88,2110.48,one year,71,no,no
86.94,347.76,month-to-month,24,no,yes
,1054.12,one year,2,no,no
48.54,2135.76,two year,34,no,yes
42.05,2607.1,one year,53,yes,no
32.91,362.01,month-to-month,12,no,yes
48.49,2036.58,two year,2,yes,no
37.55,1426.9,month-to-month,61,no,no
38.53,2119.15,two year,71,no,yes
31.1,2021.5,one year,5,no,yes
21.19,466.18,month-to-month,6,no,no
113.99,5471.52,month-to-month,62,no,yes
70.68,494.76,two year,35,no,yes
50.93,2088.13,month-to-month,57,no,no
54.57,3110.49,one year,72,yes,no
39.89,2074.28,two year,52,,no
111.11,1111.1,month-to-month,1,no,no
,1743.82,one year,3,yes,no
27.12,1735.68,month-to-month,44,no,yes
116.5,6990,,10,no,no
53.86,3716.34,two year,26,yes,no
89.53,2506.84,one year,1,yes,no
79.13,5539.1,one year,56,yes,no
116.11,6850.49,month-to-month,16,no,no
114.33,1943.61,month-to-month,41,no,no
66.79,467.53,month-to-month,39,,yes
50.35,2869.95,,62,yes,yes
77.65,2873.05,two year,13,no,no
55.69,2895.88,one year,69,yes,yes
27.32,1393.32,month-to-month,22,no,yes
48.07,1874.73,two year,56,no,yes
86.3,1898.6,one year,60,,yes
43.07,129.21,month-to-month,40,no,no
32.63,1142.05,one year,11,no,no
95.65,2869.5,,14,yes,yes
59.85,3351.6,two year,55,yes,no
98.67,6906.9,,33,yes,yes
68.71,1992.59,one year,41,no,no
90.98,3821.16,one year,28,yes,yes
59.04,2361.6,one year,58,yes,no
57.27,,one year,20,yes,no
94.35,660.45,month-to-month,39,yes,no
100.59,1106.49,two year,15,no,yes
43.29,2640.69,one year,34,,yes
52.9,2697.9,one year,15,yes,no
64.12,3590.72,month-to-month,44,no,no
113.83,5008.52,one year,2,no,yes
54.97,329.82,month-to-month,18,,no
100.29,2106.09,two year,22,no,no
112.9,5193.4,month-to-month,50,no,yes
114.06,1254.66,one year,18,yes,no
28.76,834.04,month-to-month,28,no,no
34.69,1665.12,month-to-month,66,no,yes
25.01,1350.54,month-to-month,57,,no
116.89,818.23,month-to-month,66,no,yes
115.78,4052.3,month-to-month,54,no,no
43.29,259.74,month-to-month,1,no,no
24.92,174.44,two year,12,,no
55.6,444.8,two year,11,no,no
105.57,4433.94,month-to-month,57,yes,no
54.4,979.2,,72,yes,no
31.32,1628.64,one year,15,yes,no
62.34,2493.6,two year,44,no,yes
64.03,256.12,month-to-month,8,yes,yes
46.8,,two year,13,yes,no
118.88,6419.52,one year,8,yes,no
37.28,1565.76,one year,5,no,no
60.36,4285.56,month-to-month,41,no,no
35.82,537.3,two year,22,no,yes
94.63,5867.06,one year,34,no,no
102.94,7205.8,month-to-month,43,yes,no
110.1,5284.8,,59,no,no
,6115.23,two year,34,yes,no
95.34,6197.1,one year,24,yes,no
74.99,3749.5,month-to-month,25,no,no
43.67,393.03,month-to-month,44,no,no
119.86,2157.48,month-to-month,2,no,no
,327.12,two year,15,no,no
100.43,200.86,one year,22,no,no
55.49,1609.21,month-to-month,46,yes,yes
36.85,1584.55,two year,44,yes,no
46.24,971.04,month-to-month,57,,no
27.75,1581.75,one year,69,yes,yes
22.36,916.76,month-to-month,51,no,yes
47.51,807.67,month-to-month,25,yes,no
83.14,4073.86,,40,yes,no
37.26,2347.38,month-to-month,12,no,no
72.43,3186.92,two year,29,yes,no
73.7,4274.6,one year,32,yes,yes
20.91,1129.14,month-to-month,71,yes,no
100.5,5427,one year,20,,no
84.99,2379.72,one year,6,yes,no
51.34,718.76,two year,66,no,no
74.45,595.6,month-to-month,28,no,no
71.06,3197.7,month-to-month,44,yes,no
39.63,1109.64,two year,32,yes,no
81.04,1782.88,one year,42,no,no
99.78,1796.04,one year,65,no,no
25.02,400.32,month-to-month,34,no,no
41.2,1442,two year,54,,no
76.34,1145.1,two year,56,no,no
22.92,389.64,one year,36,,no
79.56,79.56,month-to-month,57,yes,no
84.53,5663.51,,58,no,yes
83.33,4749.81,month-to-month,69,no,yes
38.38,2494.7,month-to-month,71,no,yes
43.36,953.92,one year,72,no,no
98.18,4123.56,one year,2,yes,no
76.07,684.63,month-to-month,61,no,no
78.37,4388.72,month-to-month,68,yes,no
86.79,5207.4,month-to-month,27,no,no
75.23,5115.64,one year,29,,no
111.5,,two year,67,no,no
56.02,672.24,one year,28,no,no
53.63,1984.31,month-to-month,10,no,no
111.3,7679.7,month-to-month,31,no,no
32.64,130.56,month-to-month,1,yes,no
61.92,743.04,one year,7,yes,yes
46.55,2234.4,month-to-month,39,no,no
65.79,4671.09,one year,19,no,no
36.88,1512.08,two year,56,no,no
44.76,3088.44,two year,57,yes,no
27.94,1732.28,two year,58,,no
42.74,2179.74,,9,yes,no
69.3,554.4,one year,26,,no
61.04,3357.2,month-to-month,5,no,no
86.64,4678.56,two year,57,yes,no
77.2,1930,two year,16,,no
90.81,5176.17,two year,33,no,yes
104.96,1889.28,two year,23,no,yes
25.96,649,one year,71,yes,yes
100.27,4712.69,month-to-month,18,yes,yes
62.75,3137.5,month-to-month,47,yes,yes
100.26,3509.1,month-to-month,20,yes,no
48.08,1394.32,two year,71,yes,yes
49.35,3059.7,two year,69,,yes
45.57,2551.92,,20,no,no
62.2,497.6,two year,12,no,no
57.71,2712.37,one year,60,no,no
52.32,1046.4,month-to-month,49,yes,no
20.84,1167.04,two year,45,no,no
47.63,904.97,two year,15,no,no
39.86,518.18,one year,68,yes,no
46.5,2418,one year,1,no,no
24.32,72.96,month-to-month,41,no,yes
99.67,4285.81,month-to-month,24,,no
45.05,2207.45,month-to-month,12,yes,no
47.86,3015.18,,36,yes,no
119.92,5996,one year,23,no,yes
91.51,3568.89,one year,4,,no
74.18,3412.28,,63,no,yes
45.98,2758.8,month-to-month,62,no,no
56.31,337.86,one year,48,no,no
69.35,1664.4,month-to-month,70,no,no
37.8,75.6,,41,yes,no
88.86,3465.54,month-to-month,63,yes,yes
58.2,,one year,40,no,no
104.91,7133.88,two year,16,yes,no
66.08,3634.4,month-to-month,36,no,yes
46.25,1850,one year,28,yes,no
77.79,5211.93,one year,30,yes,no
95.78,2873.4,month-to-month,32,yes,no
92.27,1660.86,month-to-month,3,yes,yes
89.11,3653.51,two year,33,no,no
50.32,1962.48,month-to-month,11,no,no
74.62,671.58,two year,12,no,no
82.61,4130.5,,6,yes,yes
23.16,370.56,one year,69,no,yes
110.88,6541.92,month-to-month,41,no,no
51.62,1961.56,two year,52,yes,no
95.24,3333.4,two year,41,,yes
21.39,42.78,month-to-month,23,yes,no
84.85,,month-to-month,42,no,no
41.23,2432.57,one year,69,yes,yes
70.41,563.28,two year,48,yes,no
54.12,2218.92,month-to-month,70,,no
53.99,,month-to-month,14,yes,no
104.11,2082.2,two year,64,no,no
67.55,3850.35,one year,68,,no
57.7,980.9,month-to-month,58,no,yes
40.79,1509.23,month-to-month,14,,no
24.08,939.12,one year,42,yes,no
32.25,967.5,month-to-month,30,yes,no
62.55,,two year,55,no,no
49.73,198.92,month-to-month,32,,yes
61.12,488.96,month-to-month,71,no,no
69.79,418.74,one year,47,yes,yes
88.37,618.59,month-to-month,7,yes,yes
33.92,2306.56,month-to-month,65,no,no
,5255.64,month-to-month,58,no,no
40.09,561.26,two year,69,no,yes
39.58,474.96,two year,64,no,yes
70.31,4218.6,one year,14,yes,no
70.55,4867.95,two year,50,yes,no
20.06,1163.48,two year,69,no,yes
50.39,2418.72,one year,3,no,no
57,1140,month-to-month,46,yes,yes
97.56,2243.88,,35,no,no
57.63,2708.61,two year,9,no,no
21.39,812.82,two year,65,no,no
28.35,56.7,month-to-month,19,no,yes
64.01,1472.23,two year,27,no,yes
33.03,1981.8,two year,53,yes,no
81.59,3263.6,,1,yes,yes
51.49,102.98,month-to-month,15,yes,no
112.08,1008.72,month-to-month,57,no,no
82.62,330.48,month-to-month,40,no,no
32.1,64.2,month-to-month,48,no,no
94.65,3028.8,month-to-month,39,yes,no
43.29,2900.43,two year,55,yes,no
68.92,1102.72,,32,yes,no
108.42,1409.46,two year,52,no,no
117.49,7871.83,month-to-month,72,no,no
40.26,2335.08,month-to-month,52,no,no
23.44,1007.92,two year,49,no,no
,2777.84,month-to-month,30,no,yes
45.31,3171.7,one year,68,no,no
25.46,942.02,two year,38,yes,no
55.25,3757,one year,4,yes,no
110.92,7653.48,one year,8,yes,no
84.38,5147.18,one year,52,no,no
34.75,1668,one year,67,yes,yes
96.1,4228.4,two year,39,no,no
20.64,1382.88,one year,44,yes,yes
112.95,2484.9,one year,43,yes,yes
83.14,166.28,month-to-month,66,no,no
21.81,894.21,two year,10,no,no
48.47,581.64,two year,13,no,no
49.58,1884.04,month-to-month,8,no,no
30.23,1995.18,two year,35,yes,yes
20.7,434.7,month-to-month,31,,no
89.6,1612.8,month-to-month,46,yes,no
63.23,4236.41,month-to-month,68,no,yes
85.4,2220.4,,28,yes,yes
106.28,2763.28,month-to-month,62,yes,no
102.1,5105,month-to-month,6,,no
82.83,82.83,two year,65,yes,no
81.08,2594.56,two year,20,yes,yes
110.64,221.28,one year,34,no,no
109.55,657.3,one year,48,no,no
93.45,2990.4,one year,27,no,yes
87.21,872.1,two year,3,,yes
104.37,6366.57,one year,29,yes,yes
114.15,3538.65,month-to-month,32,yes,no
43.24,1037.76,one year,44,no,no
32.06,288.54,two year,65,no,no
100.37,5721.09,month-to-month,61,no,no
88.11,5815.26,month-to-month,22,no,no
114.57,8134.47,,65,no,yes
107.96,7341.28,two year,60,no,no
99.13,1586.08,one year,26,no,no
90.37,4066.65,month-to-month,68,yes,yes
64.91,4348.97,one year,9,,no
,4209.15,two year,43,yes,yes
93.5,5516.5,two year,37,yes,no
61.13,3178.76,one year,16,yes,no
53.8,3012.8,month-to-month,27,yes,yes
78.32,3132.8,two year,59,no,no
68.74,1031.1,two year,51,,no
58.38,3794.7,two year,59,no,yes
118.06,5903,one year,68,yes,no
101.46,1116.06,two year,5,no,no
27.22,,two year,26,,no
36.3,689.7,month-to-month,54,no,no
37.59,1278.06,two year,20,yes,no
109.86,4174.68,month-to-month,9,no,yes
22.03,1321.8,,45,,no
88.4,4773.6,month-to-month,1,yes,yes
56.17,168.51,month-to-month,28,no,yes
79.52,5327.84,one year,71,no,no
87.04,4613.12,two year,59,yes,no
,1090,month-to-month,35,no,no
41.17,617.55,month-to-month,41,no,yes
52.69,1211.87,two year,47,no,no
96.2,4521.4,month-to-month,10,no,no
33.03,1552.41,month-to-month,65,no,no
79.53,318.12,month-to-month,8,yes,no
62.46,3060.54,one year,25,no,no
111.37,7239.05,one year,67,no,yes
23.11,346.65,month-to-month,11,no,no
25.23,454.14,,28,yes,no
54.99,109.98,month-to-month,23,,no
51.88,2542.12,month-to-month,15,yes,no
55.98,391.86,month-to-month,50,no,no
69.23,3461.5,one year,20,no,no
93.24,559.44,two year,32,yes,no
70.85,5030.35,one year,1,no,no
118,3540,one year,64,yes,no
71.15,1067.25,two year,71,,yes
58.38,992.46,two year,69,yes,no
107.06,2569.44,,27,yes,no
45.09,2930.85,month-to-month,32,yes,no
113.04,7460.64,two year,65,no,no
87.61,5607.04,month-to-month,70,yes,no
92.04,4878.12,one year,53,no,no
47.74,95.48,two year,28,no,no
66.62,1065.92,month-to-month,69,yes,yes
82.57,82.57,month-to-month,19,no,no
50.31,2616.12,one year,51,yes,no
,230.67,one year,5,yes,yes
94.81,5878.22,month-to-month,29,no,no
23.39,701.7,two year,31,yes,yes
85.03,3996.41,month-to-month,45,yes,yes
108.78,3480.96,month-to-month,65,no,no
80.77,5653.9,month-to-month,19,yes,no
60.82,2493.62,month-to-month,52,no,no
44.93,1572.55,two year,59,yes,no
23.12,323.68,,6,no,no
49.41,592.92,,10,yes,no
80.75,2180.25,one year,55,yes,no
42.53,1616.14,two year,45,no,no
66.97,334.85,two year,11,no,no
76.57,1148.55,month-to-month,64,no,yes
20.65,846.65,one year,25,no,no
51.52,2524.48,month-to-month,60,no,no
42.76,2180.76,month-to-month,7,yes,no
26.4,448.8,one year,63,yes,no
107.96,1403.48,month-to-month,56,,no
80.08,1921.92,month-to-month,26,yes,no
102.96,5868.72,two year,53,no,yes
54.59,545.9,one year,34,no,yes
78.95,4184.35,month-to-month,31,no,no
36.92,1919.84,month-to-month,39,no,no
103.18,6913.06,two year,41,,no
45.27,3078.36,two year,18,no,yes
39.92,2594.8,one year,41,no,yes
57.53,2588.85,two year,33,yes,yes
41.87,2637.81,one year,33,,no
32.61,945.69,one year,60,no,no
64.06,3459.24,two year,12,yes,yes
75.56,2493.48,two year,71,no,no
72.19,2959.79,one year,48,no,no
107.35,4616.05,one year,65,no,no
88.06,,two year,14,,yes
86.53,1903.66,two year,12,yes,no
56.66,3682.9,two year,20,yes,no
29.24,1578.96,one year,28,no,no
97.02,4559.94,month-to-month,43,yes,no
66.27,4175.01,month-to-month,10,yes,no
26.77,1044.03,month-to-month,49,yes,no
77.82,1478.58,two year,64,yes,no
73.73,2580.55,one year,22,yes,no
21.08,1222.64,,39,,no
64.97,4612.87,one year,72,yes,no
33.92,1967.36,month-to-month,28,yes,no
71.5,4147,two year,38,no,yes
34.05,1940.85,month-to-month,10,no,no
27.29,791.41,one year,9,no,yes
109.19,4804.36,month-to-month,8,no,yes
58.51,4037.19,month-to-month,12,yes,yes
62.14,3852.68,month-to-month,1,no,no
31.99,1247.61,one year,6,no,no
,751.06,month-to-month,48,yes,no
105.09,7461.39,month-to-month,9,no,no
24.52,1152.44,one year,49,yes,no
22.01,88.04,month-to-month,63,yes,yes
54.56,654.72,month-to-month,35,yes,yes
90.77,,month-to-month,62,no,no
,,month-to-month,12,yes,no
72.02,4321.2,month-to-month,9,yes,no
89.06,4096.76,one year,53,yes,no
112.65,3154.2,month-to-month,49,yes,no
97.91,293.73,one year,4,no,yes
57.2,400.4,month-to-month,2,no,yes
24.72,519.12,two year,26,no,no
107.19,7074.54,one year,7,no,no
60.49,3266.46,month-to-month,40,no,yes
32.82,1378.44,month-to-month,71,yes,yes
64.21,3531.55,month-to-month,70,no,no
34.31,343.1,month-to-month,18,no,no
46.48,604.24,two year,28,yes,no
,709.24,one year,37,yes,yes
114.98,6323.9,two year,4,yes,no
56.1,3983.1,month-to-month,4,no,no
54.83,1535.24,month-to-month,54,yes,no
32.68,1797.4,one year,70,yes,no
113.19,1811.04,one year,4,no,no
68.2,2932.6,one year,32,no,no
107.89,4315.6,one year,53,no,yes
80.62,,month-to-month,7,yes,yes
,4172,one year,48,yes,no
49.14,2850.12,one year,25,no,yes
58.24,3494.4,month-to-month,51,yes,no
51.28,1333.28,month-to-month,42,no,yes
93.22,3822.02,month-to-month,6,no,no
57.1,,month-to-month,50,no,no
75.92,1366.56,one year,41,no,no
119.38,119.38,two year,58,no,no
102.03,3673.08,two year,44,no,no
28.99,202.93,month-to-month,69,no,no
68.78,3507.78,month-to-month,50,no,yes
116.22,2324.4,two year,2,yes,no
89.26,4463,month-to-month,68,yes,no
94.33,565.98,month-to-month,45,no,no
,1924.56,two year,58,no,no
34.99,2414.31,one year,39,yes,no
24.38,1414.04,two year,72,yes,no
79.25,5389,two year,6,no,yes
79.03,3161.2,one year,72,no,no
25.17,1308.84,one year,4,yes,no
34.92,244.44,one year,24,yes,yes
97.18,5150.54,month-to-month,25,no,no
81.32,3496.76,two year,71,no,yes
88.03,2904.99,two year,10,,no
79.91,2637.03,two year,57,yes,no
46.52,232.6,two year,19,yes,yes
28.51,1967.19,month-to-month,15,yes,no
106.74,1707.84,one year,52,yes,no
102.59,6155.4,,63,no,no
60.26,542.34,two year,69,no,yes
30.54,1099.44,month-to-month,30,no,no
39.52,2726.88,month-to-month,62,yes,no
81.13,4705.54,month-to-month,46,,no
43.27,1514.45,,56,,no
93.34,4293.64,month-to-month,71,yes,no
112.11,6053.94,month-to-month,61,yes,yes
113.44,2949.44,two year,72,,no
99.74,6483.1,one year,59,yes,yes
95.02,5226.1,two year,47,yes,no
107.95,5289.55,one year,10,yes,no
73.84,2953.6,,29,yes,no
47.62,238.1,month-to-month,72,yes,no
35.85,1577.4,one year,1,,no
99.33,1489.95,two year,1,yes,no
112.05,1232.55,month-to-month,70,yes,yes
59.59,774.67,month-to-month,43,no,no
39.84,836.64,one year,19,no,no
26.7,614.1,month-to-month,9,no,no
44.63,1026.49,two year,43,no,no
45.72,3017.52,one year,36,yes,no
88.26,1323.9,,51,yes,yes
24.41,1635.47,month-to-month,7,no,yes
81.4,2686.2,two year,64,,no
59.78,1554.28,one year,8,yes,yes
98.89,2670.03,month-to-month,24,no,yes
61.51,2460.4,month-to-month,30,no,no
69.13,,month-to-month,56,no,no
30.93,463.95,one year,8,yes,yes
115.59,8206.89,two year,67,no,no
70.09,140.18,two year,27,no,no
38.13,1906.5,month-to-month,38,yes,no
38.4,460.8,two year,38,no,no
96.07,3266.38,one year,62,,no
73.83,2510.22,one year,27,no,yes
79.17,3008.46,two year,45,no,yes
29.65,1808.65,two year,2,no,no
61.48,4119.16,month-to-month,53,yes,yes
75.79,4471.61,month-to-month,59,no,yes
35.97,1007.16,month-to-month,57,no,yes
23.56,1083.76,one year,11,no,yes
47.47,1661.45,two year,54,yes,no
53.72,913.24,one year,62,no,no
58.71,4050.99,two year,17,yes,no
73.19,219.57,two year,35,yes,yes
87.24,174.48,month-to-month,70,yes,yes
69.61,4037.38,month-to-month,37,,no
55.64,1724.84,,46,no,no
59.21,1717.09,one year,56,no,no
108.02,6697.24,one year,6,no,yes
63.56,1652.56,month-to-month,62,yes,no
36.99,739.8,,60,yes,no
73.33,4399.8,one year,57,yes,no
70.27,2108.1,month-to-month,14,,no
112.26,7970.46,month-to-month,49,no,yes
21.54,990.84,two year,56,yes,no
107.85,4961.1,one year,68,no,no
33.57,1376.37,month-to-month,17,,no
106.31,2870.37,,34,,no
109.74,2194.8,two year,66,yes,no
60.54,1392.42,one year,42,yes,no
66.04,4358.64,one year,33,yes,no
105.06,6828.9,month-to-month,18,yes,no
94.96,1804.24,month-to-month,29,yes,no
42.54,42.54,one year,53,yes,no
31.89,2040.96,one year,35,yes,no
30.41,1855.01,month-to-month,10,yes,yes
52.31,470.79,two year,50,yes,no
106.68,7360.92,month-to-month,36,no,no
59.93,1618.11,,60,,no
65.38,2092.16,one year,20,yes,no
37.94,2541.98,month-to-month,36,yes,yes
81.54,3180.06,two year,57,yes,yes
64.8,,two year,72,,no
46.59,3307.89,two year,31,no,no
28.16,704,two year,39,no,no
64.72,3236,month-to-month,27,yes,yes
103.02,3296.64,one year,20,yes,yes
31.72,983.32,month-to-month,13,no,yes
49.39,2963.4,month-to-month,31,yes,no
53.77,268.85,one year,18,yes,yes
,1126,month-to-month,39,yes,no
99.48,4874.52,,17,yes,yes
112.85,6432.45,month-to-month,30,yes,no
87.42,2447.76,month-to-month,50,yes,no
82.39,3213.21,month-to-month,71,yes,yes
,715.86,two year,20,no,yes
87.71,2368.17,two year,19,no,no
74.2,1780.8,two year,28,no,no
70.32,3445.68,one year,8,,no
50.95,815.2,month-to-month,30,yes,no
117.61,352.83,month-to-month,19,yes,no
70.31,1335.89,month-to-month,28,no,no
118.6,2609.2,two year,61,yes,no
107.08,5889.4,one year,27,no,no
64.73,4207.45,one year,49,,no
92.54,2498.58,one year,62,yes,yes
85.46,1965.58,one year,17,yes,no
,1778.18,month-to-month,2,no,yes
71.25,570,month-to-month,45,yes,no
117.77,4710.8,two year,1,,yes
68.86,4613.62,one year,5,yes,no
39.74,1748.56,month-to-month,33,no,no
54.19,270.95,two year,58,no,no
109.78,4061.86,two year,11,yes,no
51.17,1995.63,month-to-month,31,yes,no
64.31,4373.08,month-to-month,17,no,no
